Id,Label,url,Main Topic,Total Views,Total Videos,Subscribers
UCMF_5h2OejEhVorTB02UUSg,MAZZEL,https://www.youtube.com/channel/UCMF_5h2OejEhVorTB02UUSg,Music of Asia,442082747,916,456000
UCnwV0i25fH8pBrzuJ3WrHTw,レミオロメン,https://www.youtube.com/channel/UCnwV0i25fH8pBrzuJ3WrHTw,Music,212391785,170,192000
UC5RmUAcm_w5K9cxtQSj7W7g,TOKYO SKA PARADISE ORCHESTRA OFFICIAL,https://www.youtube.com/channel/UC5RmUAcm_w5K9cxtQSj7W7g,Music of Asia,288652713,455,452000
UC1aTKL3dU_xQ5OqhtCpNjMw,SAINT SATINE,https://www.youtube.com/channel/UC1aTKL3dU_xQ5OqhtCpNjMw,Performing arts,75440579,65,341000
UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,https://www.youtube.com/channel/UCs-QBT4qkj_YiQw1ZntDO3g,Entertainment,6229258362,3067,7840000
UC8C6QOPDVYwmuaSBZksefdg,TWS,https://www.youtube.com/channel/UC8C6QOPDVYwmuaSBZksefdg,Music,1122318205,2134,1990000
UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,https://www.youtube.com/channel/UCZvCP6sWj75MwpUP4LVtpNw,Pop music,881288158,1836,2610000
UCaHwGJXFb28TekZMf7iFg5Q,KiiiKiii,https://www.youtube.com/channel/UCaHwGJXFb28TekZMf7iFg5Q,Performing arts,275296932,758,478000
UCF3fJRTFtKXgvRDUkkhI6Pw,NZ On Air Music,https://www.youtube.com/channel/UCF3fJRTFtKXgvRDUkkhI6Pw,Soul music,1217696,341,3910
UC0yRIpnWAOLDzFjmBFh7b0A,Tessan,https://www.youtube.com/channel/UC0yRIpnWAOLDzFjmBFh7b0A,Lifestyle (sociology),5911075,270,14100
UCmXnGOvgbd_XIk-yhBR3XZw,Tommy Omolabi,https://www.youtube.com/channel/UCmXnGOvgbd_XIk-yhBR3XZw,Hobby,1991920,46,46700
UCIMuE-Qv9TEEH1PttmiUN6A,JaiLenJoseyVEVO,https://www.youtube.com/channel/UCIMuE-Qv9TEEH1PttmiUN6A,Pop music,473462,15,23
UCGOmQQzZ6M2rzPHXPRZAN4g,Lauren Alaina,https://www.youtube.com/channel/UCGOmQQzZ6M2rzPHXPRZAN4g,Lifestyle (sociology),146904163,158,248000
UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,https://www.youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,Rhythm and blues,38675333930,278,78600000
UCx8v-goujcpBVF7QKALgp3g,Dan + Shay,https://www.youtube.com/channel/UCx8v-goujcpBVF7QKALgp3g,Christian music,1693360797,395,1830000
UC4-PNFKYlFopHQSMM7HzDDQ,KeithWhitleyVEVO,https://www.youtube.com/channel/UC4-PNFKYlFopHQSMM7HzDDQ,Pop music,175558871,24,97100
UC9Xz6XVzGI7akgrcM-WA45Q,Alison Krauss,https://www.youtube.com/channel/UC9Xz6XVzGI7akgrcM-WA45Q,Pop music,270072193,182,387000
UCMNJ63oR69YW1zL5-fB1muA,Miranda Lambert,https://www.youtube.com/channel/UCMNJ63oR69YW1zL5-fB1muA,Lifestyle (sociology),1539499867,334,1590000
UCm-r6w9jCMsjFa0WgZ3yaPQ,gretchenwilson,https://www.youtube.com/channel/UCm-r6w9jCMsjFa0WgZ3yaPQ,Country music,235886644,9,274000
UCjMYB5kdfljOLZJQQtb_1aA,David Frizzell,https://www.youtube.com/channel/UCjMYB5kdfljOLZJQQtb_1aA,Country music,3287832,102,13700
UCY2ntclVFmjjaneDotE2ItA,kwnVEVO,https://www.youtube.com/channel/UCY2ntclVFmjjaneDotE2ItA,Rhythm and blues,80368035,34,4430
UCKqqDlf6lfo3ChRA4-gzusQ,DDG,https://www.youtube.com/channel/UCKqqDlf6lfo3ChRA4-gzusQ,Pop music,908463485,222,3260000
UCTx6FNaC56YrHGNZTO13wFg,Vallé,https://www.youtube.com/channel/UCTx6FNaC56YrHGNZTO13wFg,Electronic music,192052,31,2950
UCnum3i_4srx9VUxZYg1dK0A,Blake,https://www.youtube.com/channel/UCnum3i_4srx9VUxZYg1dK0A,Music,129640,148,590
UCE3D8K7yD-OcQCs9bEIMSsQ,LaurenAlainaAIVEVO,https://www.youtube.com/channel/UCE3D8K7yD-OcQCs9bEIMSsQ,Soul music,107193008,101,79900
UCHkj014U2CQ2Nv0UZeYpE_A,JustinBieberVEVO,https://www.youtube.com/channel/UCHkj014U2CQ2Nv0UZeYpE_A,Hip hop music,31301675472,224,31100000
UCjvjzttL0LzIGzUU6rtQYXg,Rory Kramer,https://www.youtube.com/channel/UCjvjzttL0LzIGzUU6rtQYXg,Tourism,5161317,81,113000
